item_id,MAE,RMSE,MASE,Model
FOODS_1_137,1.9063,3.6194,0.8302,TFT
FOODS_1_139,3.0566,3.5204,1.0446,TFT
FOODS_1_153,2.4739,2.9065,1.1133,TFT
FOODS_1_154,2.7062,3.1348,1.2384,TFT
FOODS_1_161,9.224,9.5323,4.612,TFT
FOODS_1_162,2.4582,2.7721,1.1443,TFT
FOODS_1_163,0.3897,0.6694,0.6576,TFT
FOODS_1_166,1.6461,1.8492,0.8081,TFT
FOODS_1_170,2.9769,4.0184,1.0174,TFT
FOODS_1_172,2.2764,2.531,1.6611,TFT
FOODS_1_173,2.3962,3.4833,0.6343,TFT
FOODS_1_181,2.4325,2.9071,1.1942,TFT
FOODS_1_183,1.6718,1.9695,1.2539,TFT
FOODS_1_184,1.5899,1.8575,1.3847,TFT
FOODS_1_194,1.462,2.0219,1.1279,TFT
FOODS_1_200,3.4097,4.0982,0.8446,TFT
FOODS_1_201,1.3679,1.8946,0.8208,TFT
FOODS_1_204,1.8379,2.1762,1.2724,TFT
FOODS_1_206,1.8452,2.2319,0.7548,TFT
FOODS_1_217,2.0397,2.5639,0.7867,TFT
FOODS_1_218,5.4953,6.42,1.0752,TFT
FOODS_1_219,1.6129,1.9509,0.9072,TFT
